Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTer
2017,2182786,9,1,1,1,1,1200,1,12,86,56,0,,,FL,968.00,2.70,0.04,5721.93,0.102177404,0.042,360
2017,2182786,9,1,1,1,1,1499,3,48,113,1020,0,7,,TX,1645.10,1.10,0.04,7147.65,0.0070075,0.043,360
2017,2182786,9,1,1,1,2,908,1,6,97,406,0,,,CA,2711.80,2.60,0.04,4329.60,0.010664032,0.048,360
2017,2182786,9,1,1,3,2,2000,5,6,37,600,0,,,CA,2711.80,2.60,0.04,9536.56,0.015894263,0.048,360
2017,2182786,9,1,1,1,1,880,4,20,15,618,0,,,KS,156.40,1.00,0.04,4196.09,0.006789782,0.036,360
2017,2182786,9,1,1,1,2,1950,5,12,91,979,0,,,FL,968.00,2.70,0.04,9298.14,0.009497593,0.042,360
2017,2182786,9,1,1,3,1,500,1,36,61,495,0,,,NY,1536.60,1.30,0.04,2384.14,0.004816443,0.047,360
2017,2182786,9,1,1,1,1,1372,1,42,3,750,0,,,PA,746.00,1.50,0.04,6542.08,0.008722771,0.049,360
2017,2182786,9,1,1,1,1,700,5,55,133,73,0,,,WI,319.10,1.50,0.04,3337.80,0.045723222,0.033,360
2017,2182786,9,1,1,1,2,1330,4,36,47,516,0,,,NY,1536.60,1.30,0.04,6341.81,0.012290331,0.047,360
2017,2182786,9,1,1,3,1,850,1,25,17,444,0,,,MA,528.00,2.10,0.04,4053.04,0.009128462,0.037,360
2017,2182786,9,1,1,1,1,2438,3,36,103,385,0,7,,NY,1536.60,1.30,0.04,11625.06,0.030194971,0.047,360
2017,2182786,9,1,1,1,2,564,1,12,131,269,0,,,FL,968.00,2.70,0.04,2689.31,0.009997432,0.042,360
2017,2182786,9,1,1,1,1,4080,1,6,81,534,0,,,CA,2711.80,2.60,0.04,19454.58,0.036431793,0.048,360
2017,2182786,9,1,1,3,2,5285,1,9,1,103,0,,,CT,271.70,1.50,0.04,25200.35,0.244663627,0.047,360
2017,2182786,9,1,1,1,2,616,1,26,21,924,0,,,MI,504.90,2.00,0.04,2937.26,0.003178853,0.046,360
2017,2182786,9,1,1,3,1,2160,1,53,53,491,0,,,WA,491.70,3.10,0.04,10299.48,0.020976542,0.048,360
2017,2182786,9,1,1,1,2,1000,1,44,5,857,0,,,RI,59.40,1.60,0.04,4768.28,0.005563919,0.045,360
2017,2182786,9,1,1,3,1,5751,4,6,75,1515,0,,,CA,2711.80,2.60,0.04,27422.37,0.018100575,0.048,360
2017,2182786,9,1,1,1,1,1313,1,12,85,485,0,,,FL,968.00,2.70,0.04,6260.75,0.012908763,0.042,360
2017,2182786,9,1,1,3,1,1780,4,9,1,300,0,,,CT,271.70,1.50,0.04,8487.54,0.028291788,0.047,360
2017,2182786,9,1,1,1,1,2000,4,9,1,1315,0,,,CT,271.70,1.50,0.04,9536.56,0.007252135,0.047,360
2017,2182786,9,1,1,1,1,8000,5,36,61,1000,0,,,NY,1536.60,1.30,0.04,38146.23,0.038146231,0.047,360
2017,2182786,9,1,1,3,1,1840,1,39,35,261,0,,,OH,646.50,1.90,0.04,8773.63,0.033615452,0.05,360
2017,2182786,9,1,1,1,1,2250,4,36,119,2565,0,,,NY,1536.60,1.30,0.04,10728.63,0.004182701,0.047,360
2017,2182786,9,1,1,1,1,625,1,33,1,125,0,,,NH,81.30,2.70,0.04,2980.17,0.023841394,0.027,360
2017,2182786,9,1,1,3,1,2432,1,12,61,191,0,,,FL,968.00,2.70,0.04,11596.45,0.060714419,0.042,360
2017,2182786,9,1,1,1,2,9450,1,36,103,6540,0,,,NY,1536.60,1.30,0.04,45060.23,0.006889944,0.047,360
2017,2182786,9,1,1,3,2,7907,1,8,37,103,0,,,CO,335.00,2.10,0.04,37702.78,0.366046415,0.028,360
2017,2182786,9,1,1,1,1,1020,1,34,25,2107,0,,,NJ,600.20,1.60,0.04,4863.64,0.002308327,0.046,360
2017,2182786,9,1,1,3,2,700,1,44,9,101,0,,,RI,59.40,1.60,0.04,3337.80,0.033047477,0.045,360
2017,2182786,9,1,1,3,1,1273,1,47,187,300,0,,,TN,341.30,2.10,0.04,6070.02,0.020233397,0.037,360
2017,2182786,9,1,1,1,2,1100,1,24,41,500,0,,,MD,391.40,1.60,0.04,5245.11,0.010490213,0.041,360
2017,2182786,9,1,1,1,1,1100,1,37,135,138,0,,,NC,537.00,1.90,0.04,5245.11,0.03800802,0.046,360
2017,2182786,9,1,1,1,1,3900,1,25,9,1555,0,,,MA,528.00,2.10,0.04,18596.29,0.011959027,0.037,360
2017,2182786,9,1,1,1,1,1100,1,12,115,549,0,,,FL,968.00,2.70,0.04,5245.11,0.009553928,0.042,360
2017,2182786,9,1,1,3,2,5640,2,25,7,2287,0,,,MA,528.00,2.10,0.04,26893.09,0.011759114,0.037,360
2017,2182786,9,1,1,3,1,2921,1,6,37,550,0,,,CA,2711.80,2.60,0.04,13928.14,0.025323895,0.048,360
2017,2182786,9,1,1,1,2,770,1,34,17,544,0,,,NJ,600.20,1.60,0.04,3671.57,0.006749218,0.046,360
2017,2182786,9,1,1,3,2,3026,1,8,37,191,0,,,CO,335.00,2.10,0.04,14428.81,0.075543517,0.028,360
2017,2182786,9,1,1,3,1,1940,3,9,1,650,0,4,,CT,271.70,1.50,0.04,9250.46,0.014231478,0.047,360
2017,2182786,9,1,1,3,1,800,1,6,111,28,0,,,CA,2711.80,2.60,0.04,3814.62,0.136236538,0.048,360
2017,2182786,9,1,1,1,2,736,4,25,1,1636,0,,,MA,528.00,2.10,0.04,3509.45,0.002145143,0.037,360
2017,2182786,9,1,1,1,2,10000,4,36,61,1200,0,,,NY,1536.60,1.30,0.04,47682.79,0.039735657,0.047,360
2017,2182786,9,1,1,3,1,901,1,25,17,384,0,,,MA,528.00,2.10,0.04,4296.22,0.011188071,0.037,360
2017,2182786,9,1,1,3,1,831,1,6,37,233,0,,,CA,2711.80,2.60,0.04,3962.44,0.017006179,0.048,360
2017,2182786,9,1,1,3,1,992,1,17,31,281,0,,,IL,815.50,1.40,0.04,4730.13,0.016833212,0.05,360
2017,2182786,9,1,1,3,1,2200,1,6,1,300,0,,,CA,2711.80,2.60,0.04,10490.21,0.034967378,0.048,360
2017,2182786,9,1,1,1,1,1504,1,13,121,463,0,,,GA,548.40,2.70,0.04,7171.49,0.015489182,0.047,360
2017,2182786,9,1,1,1,1,4410,5,41,5,1777,0,,,OR,236.80,2.90,0.04,21028.11,0.011833489,0.041,360
2017,2182786,9,1,1,3,1,582,1,41,51,1684,0,,,OR,236.80,2.90,0.04,2775.14,0.001647944,0.041,360
2017,2182786,9,1,1,3,1,813,1,48,339,391,0,,,TX,1645.10,1.10,0.04,3876.61,0.009914605,0.043,360
2017,2182786,9,1,1,3,1,536,1,44,3,250,0,,,RI,59.40,1.60,0.04,2555.80,0.01022319,0.045,360
2017,2182786,9,1,1,1,1,2780,1,36,47,2115,0,,,NY,1536.60,1.30,0.04,13255.82,0.006267525,0.047,360
2017,2182786,9,1,1,3,1,756,1,11,1,152,0,,,DC,132.30,2.30,0.04,3604.82,0.023715913,0.061,360
2017,2182786,9,1,1,3,1,2818,1,9,1,558,0,,,CT,271.70,1.50,0.04,13437.01,0.024080663,0.047,360
2017,2182786,9,1,1,3,1,1000,1,6,85,422,0,,,CA,2711.80,2.60,0.04,4768.28,0.011299239,0.048,360
2017,2182786,9,1,1,1,1,625,1,48,259,73,0,,,TX,1645.10,1.10,0.04,2980.17,0.040824305,0.043,360
2017,2182786,9,1,1,1,1,2380,1,12,99,4777,0,,,FL,968.00,2.70,0.04,11348.50,0.002375655,0.042,360
2017,2182786,9,1,1,1,1,2000,4,6,73,673,0,,,CA,2711.80,2.60,0.04,9536.56,0.014170219,0.048,360
2017,2182786,9,1,1,1,1,3220,1,36,61,896,0,,,NY,1536.60,1.30,0.04,15353.86,0.017136002,0.047,360
2017,2182786,9,1,1,1,1,776,1,37,119,275,0,,,NC,537.00,1.90,0.04,3700.18,0.013455216,0.046,360
2017,2182786,9,1,1,1,2,2300,1,23,5,700,0,,,ME,61.40,1.70,0.04,10967.04,0.015667202,0.033,360
2017,2182786,9,1,1,3,2,7319,1,56,39,1530,0,,,WY,37.60,-1.10,0.04,34899.03,0.022809825,0.042,360
2017,2182786,9,1,1,1,2,1481,1,36,119,1450,0,,,NY,1536.60,1.30,0.04,7061.82,0.004870221,0.047,360
2017,2182786,9,1,1,3,2,876,1,8,13,517,0,,,CO,335.00,2.10,0.04,4177.01,0.008079327,0.028,360
2017,2182786,9,1,1,1,1,6300,4,12,99,1634,0,,,FL,968.00,2.70,0.04,30040.16,0.018384429,0.042,360
2017,2182786,9,1,1,3,1,872,1,6,111,240,0,,,CA,2711.80,2.60,0.04,4157.94,0.017324746,0.048,360
2017,2182786,9,1,1,3,1,604,5,25,21,162,0,,,MA,528.00,2.10,0.04,2880.04,0.017778027,0.037,360
2017,2182786,9,1,1,1,1,1730,1,6,37,343,0,,,CA,2711.80,2.60,0.04,8249.12,0.024049919,0.048,360
2017,2182786,9,1,1,3,2,1960,1,30,81,725,0,,,MT,46.80,1.00,0.04,9345.83,0.012890795,0.04,360
2017,2182786,9,1,1,1,1,1988,1,11,1,945,0,,,DC,132.30,2.30,0.04,9479.34,0.010031046,0.061,360
2017,2182786,9,1,1,3,2,417,1,41,51,1684,0,,,OR,236.80,2.90,0.04,1988.37,0.001180744,0.041,360
2017,2182786,9,1,1,3,1,1517,1,12,86,1028,0,,,FL,968.00,2.70,0.04,7233.48,0.007036458,0.042,360
2017,2182786,9,1,1,1,2,829,1,45,43,728,0,,,SC,217.80,2.10,0.04,3952.90,0.005429812,0.043,360
2017,2182786,9,1,1,3,1,492,1,44,3,205,0,,,RI,59.40,1.60,0.04,2345.99,0.011443869,0.045,360
2017,2182786,9,1,1,3,1,750,1,36,61,912,0,,,NY,1536.60,1.30,0.04,3576.21,0.003921282,0.047,360
2017,2182786,9,1,1,3,1,786,1,6,37,181,0,,,CA,2711.80,2.60,0.04,3747.87,0.020706448,0.048,360
2017,2182786,9,1,1,3,2,1200,1,12,21,479,0,,,FL,968.00,2.70,0.04,5721.93,0.011945584,0.042,360
2017,2182786,9,1,1,1,1,1400,1,47,165,263,0,,,TN,341.30,2.10,0.04,6675.59,0.025382473,0.037,360
2017,2182786,9,1,1,3,1,2000,1,6,85,420,0,,,CA,2711.80,2.60,0.04,9536.56,0.02270609,0.048,360
2017,2182786,9,1,1,3,2,490,1,41,51,1684,0,,,OR,236.80,2.90,0.04,2336.46,0.001387445,0.041,360
2017,2182786,9,1,1,1,1,1000,1,47,37,183,0,,,TN,341.30,2.10,0.04,4768.28,0.026056168,0.037,360
2017,2182786,9,1,1,3,1,3000,1,9,1,77,0,,,CT,271.70,1.50,0.04,14304.84,0.185777097,0.047,360
2017,2182786,9,1,1,3,2,4225,2,25,19,3704,0,,,MA,528.00,2.10,0.04,20145.98,0.005438979,0.037,360
2017,2182786,9,1,1,1,2,1200,1,12,11,850,0,,,FL,968.00,2.70,0.04,5721.93,0.006731688,0.042,360
2017,2182786,9,1,1,1,1,600,1,8,1,272,0,,,CO,335.00,2.10,0.04,2860.97,0.010518262,0.028,360
2017,2182786,9,1,1,3,1,335,1,1,73,53,0,,,AL,210.90,1.70,0.04,1597.37,0.030139121,0.044,360
2017,2182786,9,1,1,3,2,844,1,6,41,78,0,,,CA,2711.80,2.60,0.04,4024.43,0.051595222,0.048,360
2017,2182786,9,1,1,3,1,14350,1,36,61,1286,0,,,NY,1536.60,1.30,0.04,68424.80,0.053207466,0.047,360
2017,2182786,9,1,1,1,1,800,1,25,23,249,0,,,MA,528.00,2.10,0.04,3814.62,0.015319771,0.037,360
2017,2182786,9,1,1,3,1,718,1,6,59,556,0,,,CA,2711.80,2.60,0.04,3423.62,0.006157597,0.048,360
2017,2182786,9,1,1,3,1,1100,1,6,37,27,0,,,CA,2711.80,2.60,0.04,5245.11,0.194263212,0.048,360
